"","id_turma","discente","media_final","descricao","letivo","nome_docente","qtd_discentes","postura_profissional_media","postura_profissional_DP","atuacao_profissional_media","atuacao_profissional_DP","autoavaliacao_aluno_media","autoavaliacao_aluno_DP"
"1",57574460,"876c9810d6f4b25797d73c942f55764e","0","CANCELADO",20161,"ALVARO FREIRE DAMASCENO",15,9.81,0.54,8.44,1.52,8.61,2.13
"4",57576591,"ee003ecd6651bbc694b2d2b6d941a12a","3,8","REPROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"7",57576591,"8b82771529bee06587d1941f7a41c0c1","0","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"10",57576591,"41a0fc5b21f574bff1124ce4193798dd","2,2","REPROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"13",57576591,"867973941bf49a4cb11663866dda5f9e","6,5","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"16",57576591,"56045f32bca98dc55ed43c9f24a1dbae","0,7","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"19",57576591,"003b4b6c4d6f72b50e076a7d7e66e151","0,6","CANCELADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"22",57576591,"baa5f641d88e653c6806ddb44d2f85d7","5,9","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"25",57576591,"32daafffbc274ee74e2c8ea9f9b792a6","0","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"28",57576591,"7654b9422f2d9d22dd627991a237eb39","0,7","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"31",57576591,"29842efca9aab36a080af357242530e1","0","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"34",57576591,"38d08da2154ffa249889118d73ffdad3","0","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"37",57576591,"d01ee6d4e4283d76b5891bbfd5a3dfee","1","CANCELADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"40",57576591,"05132d452b413479e23a88dbbfd0c6aa","0","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"43",57576591,"a5fde5eeac168994d6e72488c45a619f","0","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"46",57576591,"f2e563b162d47b0f3e651d0444d7908a","1,1","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"49",57576591,"23bc90b5b8c1516c2b9c3f188eaede4c","0","CANCELADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"52",57576591,"54a9a3aec18eaf3563ead5becbbdd17d","0,7","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"55",57576591,"c8e90e0cc4925263eb9216005d5cc5d5","0,7","REPROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"58",57576591,"403dd54cc256503f79cb1dcb641843e8","2,2","REPROVADO POR MÉDIA E POR FALTAS",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"61",57576591,"e582a0fa46fd3cdf8dce61295d611c63","5,2","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",37,7.38,2.12,7.83,2.22,7.76,2.7
"64",57576732,"685d382aceefa5031509c9bb87e613dd","5,6","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"67",57576732,"a16ed96ee765c2ec436358814f6bc646","2,8","REPROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"70",57576732,"606187e0dfc21c1f377ad6df3a68e274","5,7","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"73",57576732,"290f0b6d3d787b505e16ee47aad36eae","8,1","APROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"76",57576732,"939a73420a9919237534140703f85bad","7,3","APROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
